מושגים,אנגלית,משמעות,נושא
בעלי צלום,Coelomat,"בעלי חיים עם חלל צלום שנובע משכבת המזודרם. למשל, בני אדם, תולעים וחרקים.", דורותה הושון - המגוון בחיות
דמוי צלום,Pseudocelomate,"בעלי חיים בעלי חלל דמוי צלום,  חלל שנובע משכבת מזודרם ואנדודרם. אין מזודרם בכל צד של חלל הגוף.", דורותה הושון - המגוון בחיות
שכבת נבט,Germ layer,היא אחת מכמה קבוצות של תאים המתפתחות לאיברים ולמבנים מסוימים בגוף במהלך התפתחות העובר, דורותה הושון - המגוון בחיות
לפופור,Lophophore,"איבר דמוי פה בדופן הגוף המכיל מחושים ריסניים המקיפים את הפה, משמש לאיסוף מזון. דוגמת ה Bryozoa, או ה  Brachiopoda.", דורותה הושון - המגוון בחיות
לרוות טרוכופור,Trohophore,"שלב התפתחותי שונה המכיל גלגל של ריסים מחוץ לגוף. כולל את ה: Annelida, Mollusca, Plastyhelminthes,Rotifera .", דורותה הושון - המגוון בחיות
,Ecdysozoa,"מקדמוני הפה, קבוצה מונופילטית, המוצלחת ביותר מבחינת מספר המינים. חסרי חוליות בעלי שלד חיצוני קשיח שהם משילים מספר פעמים במהלך חייהם.", דורותה הושון - המגוון בחיות
,Lophotrochozoa,"קבוצה של קדמוני פה המתחלקות לשתי קבוצות, לפופור ולרוות טרוכופר."," דורותה הושון - חסרי חוליות, ספוגים"
תאים פינקוציטים,pinacocytes,"אחד מסוגי התאים של הספוג.
תא שטוח, פחוס ונוקשה, שיוצר מעטפת קצת יותר קשיחה לכל דופן הגוף"," דורותה הושון - חסרי חוליות, ספוגים"
,porocytes,"אחד מסוגי התאים של הספוג.
תא יוצר נקב, תא זעיר ובו מאות אלפי נקבים (pores) מיקרוסקופיים"," דורותה הושון - חסרי חוליות, ספוגים"
קואנוציטים ,Choanocytes," אחד מסוגי התאים של הספוג.
תא רביד, שאחראי על הנעת המים (באמצעות שוטון) בתוך הספוג ועל קליטת מזון"," דורותה הושון - חסרי חוליות, ספוגים"
,Sclerocytes,"אחד מסוגי התאים של הספוג.
תא יוצר מחט גירנית/צורנית, בפועל יש מאות תאים וכל אחד מפריש מחט שיוצרות יער של מחטים חדות, וכך נוצר מבנה שמחזק את הדיפלובלסט"," דורותה הושון - חסרי חוליות, ספוגים"
,Collenocytes,תאים של ספוג ה מפרישים קולגן," דורותה הושון - חסרי חוליות, ספוגים"
,Oocyte,תאי רביה אצל הספוגים," דורותה הושון - חסרי חוליות, ספוגים"
,Archaeocyte,"אחד מסוגי התאים של הספוג.
תא אמבי, שיכול לשלוח זרועות לכל הכיוונים מבנה זה קולט חלקיקי מזון מתא רביד ומעביר אותם לתאים האחרים"," דורותה הושון - חסרי חוליות, ספוגים"
הרמפרודיטיים,,מתפקדים כזכר וכן כנקבה, דורותה הושון -חסרי חוליות
,Planula,לרווה של הצורבים, דורותה הושון -חסרי חוליות
,Mesoglea\ Mesogyl ,"שכבה בין שתי שכבות הנבט אצל הצורבים, שמתפקדת כמעין שלד הידרו-סטטי שמכיל תאי שריר.", דורותה הושון -חסרי חוליות
פוליפ,,"נדבק למצע בקצה התחתון של הגוף, הפה/פי הטבעת נמצא בחלק החופשי. הפה הינו תוצאה של הנצה וישנן זרועות מסביב שיכולות לנוע ולהשיג טרף. חלקם יכולים לנוע באיטיות על המצע שלהם על ידי שימוש בשרירים הנמצאים בחלק הרחוק ביותר מהפה שלהם. כמו כן, חלקם יכולים לשחות במידה ויש חשש טריפה על ידי קיפול הגוף קדימה ואחורה או דחיפה של הזרועות.", דורותה הושון -חסרי חוליות
חלל עיכול מרכזי ,Gastrovascular Cavity,מבנה של שק עם מרכיב עיכול מרכז, דורותה הושון -חסרי חוליות
אפידרמיס ,,"השכבה החיצונית, העור", דורותה הושון -חסרי חוליות
גסטרודרמיס ,,"השכבה הפנימית, המעי", דורותה הושון -חסרי חוליות
,Nematocytes,מחט היוצאת מתוך תא צורב לעבר אורגניזם סמוך ומזריק לו ארס., דורותה הושון -חסרי חוליות
תא צורב,Cnidocyte,"אחד התאים המורכבים ביותר בבעלי חיים, הוא מסוגל ""לשגר"" מחט לעבר אורגניזם סמוך ולהזריק לו ארס. המחט יוצאת כמעט מיד, במהירות של פליטת כדור מרובה.", דורותה הושון -חסרי חוליות
מורפוזה ,,רבייה מינית אצל הציפור וא-מינית אצל החילזון, דורותה הושון -חסרי חוליות
,Polyplacophora (Chitons),"מהרכיכות. רב-לוחיתיים. צורה פרימיטיבית, הקונכייה בנויה מלוחות על גבי לוחות. משתמשים במשננת שלהם כדי לגרד אצות מאבנים.", דורותה הושון -חסרי חוליות
,Gastropoda,":  מהרכיכות. חלזונות, חשופיות. מהווים בשני שליש מכלל הרכיכות. רובם אורגניזמים ימיים אך חלקם עברו אדפטציה לחיים יבשתיים. הקונכייה שלהם משמשת הן להגנה פיזית והן להגנה מהתייבשות.", דורותה הושון -חסרי חוליות
,Bivalvia,"מהרכיכות. צדפות, כולם ימיים. בעלי קונכייה המחולקת לשני חלקים הפועלים יחד בעזרת שרירים חזקים. חסרי ראש ואיבדו את המשננת. עם זאת, לחלקם יש עיניים ואיברי חישה על הגלימה", דורותה הושון -חסרי חוליות
,Cephalopoda,"מהרכיכות. תמנונים, דיונונים. משתמשים בזרועות שלהם על מנת להשיג טרף. הרגל השרירית שלהם הפכה לחלק מהזרועות.", דורותה הושון -חסרי חוליות
גלימה,mantle,"ברכיכות לרוב מפריש את הקונכייה, אם קיימת. במינים רבים הגלימה מתרחבת מעבר למסה הויסרלית ויוצרת חלל מלא במים הנקרא מרחב הגלימה המכיל את הזימים, פי הטבעת ונקבים.", דורותה הושון -חסרי חוליות
משננת,radula,"מאפיין ייחודי ברכיכות. עשויה מכיטין, מעיין שיניים המסייעות לסנן את המים ולהשיג מזון. עם זאת, לצדפות אין משננת", דורותה הושון -חסרי חוליות
,Metanephridium,מערכת הפרשה הדומה לכליות שלנו ועוזרת להפריש מים ואמוניה , דורותה הושון -חסרי חוליות
,Errantia,"לרוב נמצאים במאגרי מים מלוחים, ניידים, מאוד צבעוניים ובעלי רגליים בקצוות, parapodia, המשמשים לתנועה וכזימים. רובן טורפות או אוכלות אצות", דורותה הושון -חסרי חוליות
,Sedentaria,"חיים בתוך תעלות, מתחפרות ופחות ניידות. יכולים גם להיות מאוד יפים וצבעוניים.", דורותה הושון -חסרי חוליות
, parapodia, רגליים בקצוות הErrantia המשמשים לתנועה וכזימים, דורותה הושון -חסרי חוליות
,,, דורותה הושון -חסרי חוליות
,,, דורותה הושון -חסרי חוליות
,,, דורותה הושון -חסרי חוליות
,,, דורותה הושון -חסרי חוליות
,,, דורותה הושון -חסרי חוליות
,,, דורותה הושון -חסרי חוליות
,,, דורותה הושון -חסרי חוליות
